title	genres
Liberty Stands Still (2002)	Action|Drama|Thriller
Life and Death of Colonel Blimp, The (1943)	Drama|Romance|War
Rio Grande (1950)	Romance|Western
Young Americans, The (1993)	Crime|Drama
Blackrock (1997)	Drama|Thriller
Men with Brooms (2002)	Comedy|Drama|Romance
Mysterious Island (1961)	Adventure|Sci-Fi
Soul Assassin (2001)	Action|Crime|Thriller
Left Behind II: Tribulation Force (2002)	Drama
Dog Soldiers (2002)	Action|Horror
Fingers (1978)	Drama
Good Evening, Mr. Wallenberg (God afton, Herr Wallenberg) (1990)	Drama|War
Houseboat (1958)	Comedy|Romance
Legion of the Dead (2001)	Comedy|Horror
Madame Bovary (1991)	Drama
My Father's Glory (La gloire de mon père) (1990)	Adventure|Drama
My Mother's Castle (Château de ma mère, Le) (1990)	Comedy|Drama
Return to the Blue Lagoon (1991)	Adventure|Romance
Too Beautiful for You (Trop belle pour toi) (1989)	Comedy|Drama|Romance
Toy Soldiers (1991)	Action|Drama
Prowler, The (a.k.a. Rosemary's Killer) (a.k.a. The Graduation) (1981)	Horror
Pursuit of D.B. Cooper, The (a.k.a. Pursuit) (1981)	Adventure
Raggedy Man (1981)	Drama
Ragtime (1981)	Drama
Rich and Famous (1981)	Drama
I'm Starting From Three (Ricomincio da Tre) (1981)	Comedy
Road Games (a.k.a. Roadgames) (1981)	Thriller
Rollover (1981)	Drama
Saturday the 14th (1981)	Comedy|Horror
Scanners (1981)	Horror|Sci-Fi|Thriller
Sharky's Machine (1981)	Crime|Drama|Romance
Shock Treatment (1981)	Comedy|Musical|Sci-Fi
Do You Remember Dolly Bell? (Sjecas li se, Dolly Bell) (1981)	Comedy|Drama|Romance
So Fine (1981)	Comedy
Soupe aux Choux, La (1981)	Comedy
Southern Comfort (1981)	Drama|Thriller|War
Sphinx (1981)	Mystery|Thriller
Tales of Ordinary Madness (Storie di Ordinaria Follia) (1981)	Drama
Student Bodies (1981)	Comedy|Horror
Take This Job and Shove It (1981)	Comedy
Tarzan, the Ape Man (1981)	Adventure
Tattoo (1981)	Drama|Thriller
They All Laughed (1981)	Comedy
Thief (1981)	Crime|Drama|Thriller
This Is Elvis (1981)	Documentary|Drama|Musical
True Confessions (1981)	Crime|Drama
Revolution #9 (2001)	Thriller
Better Housekeeping (a.k.a. Good Housekeeping) (2000)	Comedy|Drama
Die Another Day (2002)	Action|Adventure|Thriller
The Emperor's Club (2002)	Drama
Friday After Next (2002)	Comedy
Personal Velocity (2002)	Drama
Quiet American, The (2002)	Drama|Thriller|War
Smokers Only (Vagón Fumador) (2001)	Drama|Romance
Talk to Her (Hable con Ella) (2002)	Drama|Romance
Eight Crazy Nights (Adam Sandler's Eight Crazy Nights) (2002)	Animation|Comedy|Musical
Extreme Ops (2002)	Action|Adventure|Crime|Thriller
Solaris (2002)	Drama|Romance|Sci-Fi
Treasure Planet (2002)	Adventure|Animation|Children|Sci-Fi|IMAX
They (2002)	Horror|Thriller
Chopper Chicks in Zombietown (1989)	Comedy|Horror
What to Do in Case of Fire (Was tun, wenn's brennt?) (2002)	Comedy|Drama
I Love You Too (Ik ook Van Jou) (2001)	Drama|Romance
Another You (1991)	Comedy
Brother (Brat) (1997)	Crime|Drama
Cruel Romance, A (Zhestokij Romans) (1984)	Drama|Romance
Elling (2001)	Comedy|Drama
I Spit on Your Grave (Day of the Woman) (1978)	Horror|Thriller
Island at the Top of the World, The (1974)	Action|Adventure|Children
Last Seduction, The (1994)	Crime|Drama|Thriller
Last Seduction II, The (1999)	Crime|Drama|Thriller
Making Contact (a.k.a. Joey) (1985)	Fantasy|Horror|Sci-Fi
New Waterford Girl (1999)	Comedy
Noah's Arc Principle, The (Arche Noah Prinzip, Das) (1984)	Sci-Fi
Sword and the Sorcerer, The (1982)	Action|Adventure|Fantasy
Zulu (1964)	Action|Drama|War
Analyze That (2002)	Comedy|Crime
Empire (2002)	Crime|Drama
Adaptation (2002)	Comedy|Drama|Romance
Equilibrium (2002)	Action|Sci-Fi|Thriller
My Kingdom (2001)	Drama
Soap Girl (2002)	Drama|Romance
It All Starts Today (Ça commence aujourd'hui) (1999)	Drama
Medea (1970)	Drama
Scarlet Diva (2000)	Drama
Visitor Q (Bizita Q) (2001)	Comedy|Drama|Horror
Bolero (Uns et les autres, Les) (1981)	Drama|War
Urgh! A Music War (1981)	Documentary
Hit the Bank (Vabank) (1981)	Comedy|Crime
Warning for the Joensson Gang (Varning för Jönssonligan) (1981)	Comedy|Crime
Vernon, Florida (1981)	Documentary
Victory (a.k.a. Escape to Victory) (1981)	Action|Drama|War
Whose Life Is It Anyway? (1981)	Drama
Zoot Suit (1981)	Drama|Musical
Alone in the Dark (1982)	Horror
Android (1982)	Sci-Fi
Ace of Aces (a.k.a. Super Ace, The) (As des as, L') (1982)	Adventure|Comedy
Attack Force Z (a.k.a. The Z Men) (Z-tzu te kung tui) (1982)	War
Attila (Attila Flagello di Dio) (1982)	Action
Author! Author! (1982)	Comedy|Drama
Barbarosa (1982)	Western
Beast Within, The (1982)	Horror
Best Friends (1982)	Comedy|Drama|Romance
Best Little Whorehouse in Texas, The (1982)	Comedy|Drama|Musical|Romance
Border, The (1982)	Drama
Party 2, The (Boum 2, La) (1982)	Comedy|Romance
Brimstone and Treacle (1982)	Drama|Thriller
Britannia Hospital (1982)	Comedy|Drama
Burden of Dreams (1982)	Documentary
Cannery Row (1982)	Drama
Challenge, The (1982)	Action
Class of 1984 (1982)	Action|Drama|Thriller
Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean (1982)	Drama
Danton (1983)	Drama
Deathtrap (1982)	Comedy|Crime|Mystery|Thriller
Man Who Saves the World, The (Dünyayi Kurtaran Adam) (1982)	Adventure|Sci-Fi
Eating Raoul (1982)	Comedy
Drumline (2002)	Comedy|Drama|Musical|Romance
Hot Chick, The (2002)	Comedy
Maid in Manhattan (2002)	Comedy|Romance
Star Trek: Nemesis (2002)	Action|Drama|Sci-Fi|Thriller
About Schmidt (2002)	Comedy|Drama
Pellet (Bola, El) (2000)	Drama
Evelyn (2002)	Drama
Guys, The (2002)	Drama
Intact (Intacto) (2001)	Thriller
Jimmy Show, The (2002)	Comedy|Drama
Morvern Callar (2002)	Drama
Lord of the Rings: The Two Towers, The (2002)	Adventure|Fantasy
Devils on the Doorstep (Guizi lai le) (2000)	Drama|War
25th Hour (2002)	Crime|Drama
Antwone Fisher (2002)	Drama
Gangs of New York (2002)	Crime|Drama
Two Weeks Notice (2002)	Comedy|Romance
Wild Thornberrys Movie, The (2002)	Animation|Children|Comedy
Narc (2002)	Crime|Drama|Thriller
Bad Influence (1990)	Drama|Thriller
Blue Steel (1990)	Action|Thriller
Body of Evidence (1993)	Drama|Thriller
Children's Hour, The (1961)	Drama
Company Business (1991)	Action|Comedy
Duellists, The (1977)	Action|War
Kiss Before Dying, A (1956)	Film-Noir|Mystery
Legend of the Lost (1957)	Adventure
Miami Blues (1990)	Comedy|Crime|Drama
My Girl 2 (1994)	Comedy|Drama|Romance
My Girl (1991)	Comedy|Drama|Romance
My Neighbor Totoro (Tonari no Totoro) (1988)	Animation|Children|Drama|Fantasy
Road to Hong Kong, The (1962)	Comedy
Running Time (1997)	Crime|Thriller
Thief of Bagdad, The (1940)	Adventure|Fantasy
War and Peace (1956)	Drama|Romance|War
Where Sleeping Dogs Lie (1992)	Crime
Where's Poppa? (1970)	Comedy
Whistle Blower, The (1986)	Thriller
Attack of the Crab Monsters (1957)	Horror|Sci-Fi
Black Christmas (1974)	Horror|Mystery|Thriller
Day of the Triffids, The (1962)	Horror|Sci-Fi
Esther Kahn (2000)	Drama
Invaders from Mars (1953)	Sci-Fi
Story of O, The (Histoire d'O) (1975)	Drama|Romance
Asoka (Ashoka the Great) (2001)	Action|Drama|Romance
Fat City (1972)	Drama
Love, Honour and Obey (2000)	Comedy|Crime|Drama
Quicksilver (1986)	Drama
Catch Me If You Can (2002)	Crime|Drama
Pinocchio (2002)	Children|Comedy|Fantasy
Chicago (2002)	Comedy|Crime|Drama|Musical
Hours, The (2002)	Drama|Romance
Max (2002)	Drama
Nicholas Nickleby (2002)	Drama|Romance
Pianist, The (2002)	Drama|War
Sonny (2002)	Crime|Drama
Champagne for Caesar (1950)	Comedy
Doppelganger (1993)	Horror|Thriller
Heavy Metal 2000 (2000)	Action|Adventure|Animation|Fantasy|Sci-Fi
House on the Edge of the Park, The (Casa sperduta nel parco, La) (1980)	Horror|Thriller
King of Comedy, The (1983)	Comedy|Drama
Love Liza (2002)	Drama
Confessions of a Dangerous Mind (2002)	Comedy|Crime|Drama|Thriller
Abraham's Valley (Vale Abraão) (1993)	Drama
Blue Collar Comedy Tour: The Movie (2003)	Comedy|Documentary
Just Married (2003)	Comedy|Romance
P.S. Your Cat is Dead (2002)	Comedy
Son, The (Le fils) (2002)	Drama
City of Lost Souls, The (Hyôryuu-gai) (2000)	Crime|Drama|Thriller
Double Whammy (2001)	Action|Comedy|Drama
Wisegirls (2002)	Crime|Drama
Guy Thing, A (2003)	Comedy|Romance
Kangaroo Jack (2003)	Action|Comedy
National Security (2003)	Action|Comedy
Big Shot's Funeral (Da Wan) (2001)	Comedy
City of God (Cidade de Deus) (2002)	Action|Adventure|Crime|Drama|Thriller
Divine Intervention (Yadon ilaheyya) (2002)	Comedy|Drama|Romance|War
Kira's Reason: A Love Story (En Kærlighedshistorie) (2001)	Drama
Above Suspicion (1995)	Thriller
Alice Adams (1935)	Comedy|Drama
American Friend, The (Amerikanische Freund, Der) (1977)	Crime|Drama|Mystery|Thriller
American Me (1992)	Drama
Band of Outsiders (Bande à part) (1964)	Comedy|Crime|Drama|Romance
Breaking Up (1997)	Comedy|Romance
CB4 - The Movie (1993)	Comedy
Deathmaker, The (Totmacher, Der) (1995)	Crime|Drama
Dogfight (1991)	Drama|Romance
Easy Come, Easy Go (1967)	Adventure|Musical
Fun in Acapulco (1963)	Comedy|Musical
Girls! Girls! Girls! (1962)	Comedy|Musical
Imitation of Life (1959)	Drama|Romance
Little Romance, A (1979)	Comedy|Romance
Mystery Date (1991)	Comedy
Paradise, Hawaiian Style (1966)	Comedy|Musical
Pépé le Moko (1937)	Crime|Drama|Romance
Secret Admirer (1985)	Comedy|Romance
Summer Lovers (1982)	Comedy|Drama|Romance
Tune in Tomorrow... (1990)	Comedy|Romance
Woman in Red, The (1984)	Comedy|Romance
Darkness Falls (2003)	Horror|Thriller
Amen. (2002)	Drama
Blind Spot: Hitler's Secretary (Im toten Winkel - Hitlers Sekretärin) (2002)	Documentary
In the Mirror of Maya Deren (Im Spiegel der Maya Deren) (2002)	Documentary
Blind Date (1984)	Horror|Thriller
Bullet (1996)	Action|Crime|Drama
Claudine (1974)	Drama
Dead Reckoning (1947)	Drama|Film-Noir|Mystery
Devil at 4 O'Clock, The (1961)	Drama
Ethan Frome (1993)	Drama
Gus (1976)	Children|Comedy
Harder They Come, The (1973)	Action|Crime|Drama
Horse in the Gray Flannel Suit, The (1968)	Children|Comedy
Krush Groove (1985)	Drama|Musical
Moon-Spinners, The (1964)	Children|Mystery
Sugar Hill (1994)	Drama
Chaos (2001)	Comedy|Crime|Drama
Biker Boyz (2003)	Action|Crime|Drama
Final Destination 2 (2003)	Horror|Thriller
Recruit, The (2003)	Action|Thriller
Guru, The (2002)	Comedy|Romance
Kedma (2002)	Drama|War
Lost in La Mancha (2002)	Documentary
May (2002)	Drama|Horror
Harder They Fall, The (1956)	Drama|Film-Noir
I'm All Right Jack (1959)	Comedy
Murder by Decree (1979)	Mystery|Thriller
Ordinary Decent Criminal (2000)	Comedy|Crime
Pursued (1947)	Thriller|Western
Big Time Operators (Smallest Show on Earth, The) (1957)	Comedy
Tokyo Decadence (Topâzu) (1992)	Drama
Two-Way Stretch (1960)	Comedy|Crime
Unfaithful Wife, The (Femme infidèle, La) (1969)	Drama|Thriller
Victim (1961)	Crime|Drama
Endangered Species (1982)	Mystery|Sci-Fi|Thriller
Simple-Minded Murder, The (Enfaldige mördaren, Den) (1982)	Drama
Enigma (1983)	Drama|Sci-Fi
Evil Under the Sun (1982)	Crime|Drama|Mystery
Firefox (1982)	Action|Sci-Fi|Thriller
Five Days One Summer (1982)	Drama
Forced Vengeance (1982)	Action|Adventure
Never Play Clever Again (Gendarme et les gendarmettes, Le) (1982)	Comedy|Crime
Grey Fox, The (1982)	Romance|Western
Hammett (1982)	Crime|Mystery
Honkytonk Man (1982)	Comedy|Drama
Neil Young: Human Highway (1982)	Comedy|Drama
I, the Jury (1982)	Crime|Drama|Thriller
If You Could See What I Hear (1982)	Comedy|Drama|Romance
Jekyll & Hyde... Together Again (1982)	Comedy|Sci-Fi
J. Gang Meets Dynamite Harry, The (Jönssonligan & DynamitHarry) (1982)	Comedy|Crime
Kiss Me Goodbye (1982)	Comedy
Labyrinth of Passion (Laberinto de Pasiones) (1982)	Comedy
Last American Virgin, The (1982)	Comedy|Drama
Last Unicorn, The (1982)	Animation|Children|Fantasy
Liquid Sky (1982)	Comedy|Sci-Fi
Dragon Lord (a.k.a. Dragon Strike) (Long Xiao Ye) (1982)	Action
Making Love (1982)	Drama
Manhattan Baby (1982)	Horror
Marathon Family, The (Maratonci Trce Pocasni Krug) (1982)	Comedy
Megaforce (1982)	Action|Sci-Fi
Midsummer Night's Sex Comedy, A (1982)	Comedy|Romance
Missing (1982)	Drama|Mystery|Thriller
Missionary, The (1982)	Comedy
Monsignor (1982)	Drama|War
Monty Python Live at the Hollywood Bowl (1982)	Comedy
Moonlighting (1982)	Drama
Mother Lode (1982)	Adventure
Night of the Shooting Stars (Notte di San Lorenzo, La) (1982)	Drama|War
That Night in Varennes (Nuit de Varennes, La) (1982)	Drama
One from the Heart (1982)	Drama|Romance
Pandemonium (1982)	Comedy|Horror|Mystery
Paradise (1982)	Adventure|Romance
Partners (1982)	Comedy
Godard's Passion (Passion) (1982)	Drama
Permanent Vacation (1982)	Drama
Personal Best (1982)	Drama
Pirate Movie, The (1982)	Adventure|Comedy|Musical
Privates on Parade (1982)	Comedy|Drama|War
Blind Chance (Przypadek) (1981)	Drama
Santa Claus Is a Stinker (Le Père Noël est une ordure) (1982)	Comedy
Q: The Winged Serpent (1982)	Drama|Fantasy|Horror|Sci-Fi|Thriller
Querelle (1982)	Drama
Richard Pryor Live on the Sunset Strip (1982)	Comedy|Documentary
Sunless (Sans Soleil) (1983)	Documentary
Savannah Smiles (1982)	Comedy
Secret Policeman's Other Ball, The (1982)	Comedy|Documentary|Musical
Veronika Voss (Sehnsucht der Veronika Voss, Die) (1982)	Drama
Shoot the Moon (1982)	Drama
Six Pack (1982)	Comedy|Drama
Six Weeks (1982)	Drama
Soldier, The (1982)	Action
Some Kind of Hero (1982)	Comedy|Drama
New York Ripper, The (Squartatore di New York, Lo) (1982)	Crime|Horror|Mystery|Thriller
State of Things, The (Stand der Dinge, Der) (1982)	Drama
Starstruck (1982)	Comedy|Musical
Still of the Night (1982)	Mystery|Thriller
South, The (Sur, El) (1983)	Drama|Romance
Sword of the Valiant (1984)	Action|Adventure|Fantasy|Romance
Tag: The Assassination Game (a.k.a. Everybody Gets It in the End) (1982)	Action|Thriller
Tempest (1982)	Comedy|Drama
Tenebre (1982)	Horror|Mystery|Thriller
They Call Me Bruce? (a.k.a. A Fistful of Chopsticks) (1982)	Comedy
Time Walker (a.k.a. Being From Another Planet) (1982)	Horror|Sci-Fi
Trail of the Pink Panther (1982)	Comedy|Crime
Traviata, La (1982)	Drama|Musical
Venom (1982)	Horror|Thriller
To Begin Again (a.k.a. Starting Over) (Volver a Empezar) (1982)	Drama
White Rose, The (Weiße Rose, Die) (1982)	Drama|Film-Noir
White Dog (1982)	Drama|Horror|Thriller
Final Option, The (Who Dares Wins) (1982)	Action|War
Wrong Is Right (a.k.a. The Man With the Deadly Lens) (1982)	Drama|Thriller
Yol (a.k.a. The Way) (1982)	Drama
Yor, the Hunter from the Future (1983)	Sci-Fi
Zapped! (1982)	Comedy|Sci-Fi
Deliver Us from Eva (2003)	Comedy|Romance
How to Lose a Guy in 10 Days (2003)	Comedy|Romance
Shanghai Knights (2003)	Action|Adventure|Comedy
Daredevil (2003)	Action|Crime
Jungle Book 2, The (2003)	Animation|Children
All the Real Girls (2003)	Drama|Romance
Amandla! A Revolution in Four Part Harmony (2002)	Documentary|Musical
Painted Fire (Chihwaseon) (2002)	Drama
Gerry (2002)	Adventure|Drama
He Loves Me... He Loves Me Not (À la folie... pas du tout) (2002)	Romance|Thriller
Lockdown (2000)	Drama
Ordinary Sinner (2001)	Drama|Romance
Dennis the Menace (1993)	Comedy
Stand-In (1937)	Comedy
10 to Midnight (1983)	Action|Adventure|Thriller
Black Stallion Returns, The (1983)	Adventure|Children
Black Stallion, The (1979)	Adventure|Children|Drama
Cesar & Rosalie (César et Rosalie) (1972)	Comedy|Drama|Romance
Countess from Hong Kong, A (1967)	Comedy
Into the West (1992)	Adventure|Children
Kinjite: Forbidden Subjects (1989)	Crime|Thriller
Messenger of Death (1988)	Thriller
Mr. Majestyk (1974)	Action|Drama
Murphy's Law (1986)	Action
Patch of Blue, A (1965)	Drama|Romance
Prayer for the Dying, A (1987)	Action|Drama
Q & A (1990)	Crime|Drama
Red Badge of Courage, The (1951)	Drama|War
Thrill of It All, The (1963)	Comedy
Pillow Talk (1959)	Comedy|Musical|Romance
Man Who Fell to Earth, The (1976)	Drama|Sci-Fi
Dark Blue (2003)	Action|Crime|Drama|Thriller
Gods and Generals (2003)	Action|Drama|War
Life of David Gale, The (2003)	Crime|Drama|Thriller
Old School (2003)	Comedy
Dischord (2001)	Drama|Thriller
Lawless Heart, The (2003)	Comedy|Drama
Navigators, The (2001)	Comedy|Drama
Open Hearts (Elsker dig for evigt) (2002)	Romance
Poolhall Junkies (2002)	Comedy|Drama|Thriller
Till Human Voices Wake Us (2001)	Drama|Romance
Stone Reader (2002)	Documentary
Cradle 2 the Grave (2003)	Action|Crime|Drama|Thriller
Spider (2002)	Drama|Mystery
American Heart (1992)	Crime|Drama
Edie & Pen (1996)	Comedy
Insignificance (1985)	Comedy|Drama
Lady Jane (1986)	Drama|Romance
Late Marriage (Hatuna Meuheret) (2001)	Comedy|Drama|Romance
Life Stinks (1991)	Comedy
Meteor Man, The (1993)	Comedy
Mr. North (1988)	Comedy|Drama
Seize the Day (1986)	Drama
Slaughter Rule, The (2002)	Drama
Teenagers from Outer Space (1959)	Horror|Sci-Fi
Trouble Bound (1993)	Action|Comedy
Volcano High (Whasango) (2001)	Action|Comedy
Ten (2002)	Drama
Bringing Down the House (2003)	Comedy
Tears of the Sun (2003)	Action|Drama|Thriller
Irreversible (Irréversible) (2002)	Crime|Drama|Mystery|Thriller
Laurel Canyon (2002)	Drama
Nowhere in Africa (Nirgendwo in Afrika) (2001)	Drama
Safety of Objects, The (2001)	Drama
Bend It Like Beckham (2002)	Comedy|Drama|Romance
Hunted, The (2003)	Action|Drama|Thriller
Willard (2003)	Drama|Horror|Thriller
Gaudi Afternoon (2001)	Comedy|Drama|Mystery
Prozac Nation (2001)	Drama
Spun (2001)	Comedy|Crime|Drama
Under the Skin of the City (Zir-e-poost-e Shahr) (2001)	Drama
King of Kings (1961)	Drama
Lost Honor of Katharina Blum, The (Verlorene Ehre der Katharina Blum oder: Wie Gewalt entstehen und wohin sie führen kann, Die) (1975)	Drama
Loving You (1957)	Drama|Musical
Talk of the Town, The (1942)	Comedy|Romance|Thriller
Two-Lane Blacktop (1971)	Drama
Bang the Drum Slowly (1973)	Drama
Benny Goodman Story, The (1955)	Drama|Musical
Born Free (1966)	Adventure|Children|Drama
Born Yesterday (1993)	Comedy|Romance
Equus (1977)	Drama|Mystery
Europa Europa (Hitlerjunge Salomon) (1990)	Drama|War
Fear Strikes Out (1957)	Drama
Glenn Miller Story, The (1953)	Drama
Green Card (1990)	Comedy|Drama|Romance
Journey to the Center of the Earth (1959)	Adventure|Children|Sci-Fi
One Good Cop (1991)	Action|Crime|Drama
Pauline at the Beach (Pauline à la Plage) (1983)	Comedy|Drama|Romance
Ringu (Ring) (1998)	Horror|Mystery|Thriller
Ringu 2 (Ring 2) (1999)	Horror|Mystery
Salaam Bombay! (1988)	Drama
Sweet Charity (1969)	Comedy|Drama|Musical|Romance
Talent for the Game (1991)	Drama
Women in Love (1969)	Drama|Romance
Japon (a.k.a. Japan) (Japón) (2002)	Drama
Boat Trip (2003)	Comedy
Dreamcatcher (2003)	Drama|Horror|Sci-Fi|Thriller
Piglet's Big Movie (2003)	Animation|Children
View from the Top, A (2003)	Comedy|Romance
Down and Out with the Dolls (2001)	Comedy
Awful Truth, The (1937)	Comedy|Romance
Bible, The (a.k.a. Bible... In the Beginning, The) (1966)	Drama
House with Laughing Windows, The (Casa dalle finestre che ridono, La) (1976)	Horror|Mystery|Thriller
I Am Curious (Yellow) (Jag är nyfiken - en film i gult) (1967)	Documentary|Drama
Dames du Bois de Boulogne, Les (Ladies of the Bois de Boulogne, The) (Ladies of the Park) (1945)	Drama|Romance
My Friend Flicka (1943)	Children|Western
Robe, The (1953)	Drama
Wind (1992)	Action|Romance
Unknown Pleasures (Ren xiao yao) (2002)	Comedy|Drama
Basic (2003)	Drama|Thriller|War
Core, The (2003)	Action|Drama|Sci-Fi|Thriller
Head of State (2003)	Comedy
What a Girl Wants (2003)	Comedy|Drama|Romance
Assassination Tango (2002)	Drama|Thriller
Raising Victor Vargas (2002)	Comedy|Drama|Romance
Stevie (2002)	Documentary
Akira Kurosawa's Dreams (Dreams) (1990)	Drama|Fantasy
Day for Night (La Nuit Américaine) (1973)	Comedy|Drama|Romance
Eye of God (1997)	Drama
In a Lonely Place (1950)	Drama|Film-Noir|Mystery|Romance
Physical Evidence (1989)	Crime|Thriller
Square Dance (1987)	Drama|Romance
Wake of the Red Witch (1948)	Action|Adventure|Drama
Winter Kills (1979)	Drama
Fellini: I'm a Born Liar (Fellini: Je Suis um Grand Menteur) (2001)	Documentary
Good Thief, The (2002)	Crime|Drama
Man Apart, A (2003)	Action|Crime|Drama|Thriller
Phone Booth (2002)	Drama|Thriller
Cet amour-là (2001)	Drama|Romance
Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira) (2001)	Action|Animation|Sci-Fi|Thriller
DysFunktional Family (2003)	Comedy|Documentary
Levity (2003)	Drama
Man Without a Past, The (Mies vailla menneisyyttä) (2002)	Comedy|Crime|Drama
Anger Management (2003)	Comedy
Better Luck Tomorrow (2002)	Crime|Drama
Ghosts of the Abyss (2003)	Documentary|IMAX
House of 1000 Corpses (2003)	Horror
Lilya 4-Ever (Lilja 4-ever) (2002)	Crime|Drama
Marion Bridge (2002)	Drama
XX/XY (2002)	Drama|Romance
Bulletproof Monk (2003)	Action|Adventure|Sci-Fi
Chasing Papi (a.k.a. Papi Chulo) (2003)	Comedy
Mighty Wind, A (2003)	Comedy|Musical
Holes (2003)	Adventure|Children|Comedy|Mystery
Malibu's Most Wanted (2003)	Comedy|Crime
Winged Migration (Peuple migrateur, Le) (2001)	Documentary
Flickering Lights (Blinkende lygter) (2000)	Action|Comedy|Crime
Straw Dogs (1971)	Drama|Thriller
Beginning of the End (1957)	Sci-Fi
Andromeda Strain, The (1971)	Mystery|Sci-Fi
Brainscan (1994)	Comedy|Horror|Sci-Fi|Thriller
Fahrenheit 451 (1966)	Drama|Sci-Fi
I Am Trying to Break Your Heart (2002)	Documentary
Iceman Cometh, The (1973)	Drama
Legal Eagles (1986)	Comedy|Crime|Romance
Married to It (1991)	Comedy|Drama
Memories of Me (1988)	Comedy|Drama
Other Side of Heaven, The (2001)	Adventure|Drama
Private Function, A (1984)	Comedy
Sibling Rivalry (1990)	Comedy
Undercover Blues (1993)	Comedy|Crime
Wildcats (1986)	Comedy
Wiz, The (1978)	Adventure|Children|Comedy|Fantasy|Musical
Cartouche (1962)	Action|Adventure|Comedy|Drama
Marrying Man, The (Too Hot to Handle) (1991)	Comedy|Romance
My Father the Hero (Mon père, ce héros.) (1991)	Comedy|Drama
Scenes from a Mall (1991)	Comedy
Stella (1990)	Drama
Confidence (2003)	Crime|Thriller
Identity (2003)	Crime|Horror|Mystery|Thriller
It Runs in the Family (2003)	Comedy|Drama
Real Cancun, The (2003)	Documentary
City of Ghosts (2002)	Crime|Drama|Thriller
Decade Under the Influence, A (2003)	Documentary
House of Fools (2002)	Drama|Romance|War
Manic (2001)	Drama
People I Know (2002)	Crime|Drama
Spellbound (2002)	Documentary
Lizzie McGuire Movie, The (2003)	Children|Comedy|Romance
X2: X-Men United (2003)	Action|Adventure|Sci-Fi|Thriller
Blue Car (2002)	Drama
Dancer Upstairs, The (2002)	Crime|Drama|Thriller
Marooned in Iraq (Gomgashtei dar Aragh) (2002)	Drama
Owning Mahowny (2003)	Crime|Drama|Thriller
Daddy Day Care (2003)	Children|Comedy
Man on the Train (Homme du train, L') (2002)	Comedy|Drama
Only the Strong Survive - A Celebration of Soul (2002)	Documentary|Musical
Shape of Things, The (2003)	Drama
Trip, The (2002)	Comedy|Drama|Romance
Washington Heights (2002)	Drama|Romance
101 Reykjavik (101 Reykjavík) (2000)	Comedy|Drama|Romance
Chorus Line, A (1985)	Comedy|Drama|Musical
Absolute Beginners (1986)	Musical
Beat Street (1984)	Drama|Musical
Breakin' 2: Electric Boogaloo (1984)	Musical
Breakin' (1984)	Drama|Musical
Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986)	Action|Adventure|Animation|Children|Fantasy|Sci-Fi
Hysterical Blindness (2002)	Drama
Lambada (1990)	Drama
Roadie (1980)	Comedy|Musical
Carpetbaggers, The (1964)	Drama
Girls, Les (1957)	Musical
Gunfight at the O.K. Corral (1957)	Western
High Society (1956)	Comedy|Musical|Romance
Kiss Me Kate (1953)	Comedy|Musical|Romance
Matrix Reloaded, The (2003)	Action|Adventure|Sci-Fi|Thriller|IMAX
Dracula: Pages from a Virgin's Diary (2001)	Horror|Mystery
Down with Love (2003)	Comedy|Romance
Cinemania (2002)	Documentary
Friends and Family (2001)	Comedy
Spanish Apartment, The (L'auberge espagnole) (2002)	Comedy|Drama|Romance
Pokémon Heroes (2003)	Animation|Children
Bruce Almighty (2003)	Comedy|Drama|Fantasy|Romance
In-Laws, The (2003)	Comedy
Gigantic (A Tale of Two Johns) (2002)	Documentary
Respiro (2002)	Comedy|Drama
Finding Nemo (2003)	Adventure|Animation|Children|Comedy
Italian Job, The (2003)	Action|Crime
Wrong Turn (2003)	Horror|Thriller
Capturing the Friedmans (2003)	Documentary
Three Marias, The (Três Marias, As) (2002)	Drama
Together (Han ni Zai Yiki) (2002)	Drama
2 Fast 2 Furious (Fast and the Furious 2, The) (2003)	Action|Crime|Thriller
Love the Hard Way (2001)	Crime|Drama|Romance
Whale Rider (2002)	Drama
Nevada Smith (1966)	Western
Once a Thief (Zong heng si hai) (1991)	Action|Comedy|Crime|Thriller
Regeneration (1997)	Drama|War
Silk Stockings (1957)	Musical
Snowball Express (1972)	Children|Comedy
Man Called Horse, A (1970)	Adventure|Drama|Western
For Sale (À Vendre) (1998)	Drama
Big Jake (1971)	Western
Crazies, The (a.k.a. Code Name: Trixie) (1973)	Action|Drama|Horror|Sci-Fi|Thriller
Dementia 13 (1963)	Horror|Thriller
Bizarre, Bizarre (Drôle de drame ou L'étrange aventure de Docteur Molyneux) (1937)	Comedy
Le Mans (1971)	Action|Adventure
Murder on a Sunday Morning (Un coupable idéal) (2001)	Documentary
Rio Lobo (1970)	Adventure|Romance|War|Western
Siam Sunset (1999)	Comedy
Swimmer, The (1968)	Drama
White Sheik, The (Sceicco bianco, Lo) (1952)	Comedy|Romance
Treasure Island (1950)	Adventure|Children
Two Evil Eyes (1990)	Horror
Walk, Don't Run (1966)	Comedy|Romance
Animals are Beautiful People (1974)	Comedy|Documentary
Bend of the River (1952)	Western
Car Wash (1976)	Comedy
